,Amplitude,AndersonDarling,Autocor_length,Beyond1Std,CAR_mean,CAR_sigma,CAR_tau,Color,Con,Eta_color,Eta_e,FluxPercentileRatioMid20,FluxPercentileRatioMid35,FluxPercentileRatioMid50,FluxPercentileRatioMid65,FluxPercentileRatioMid80,Freq1_harmonics_amplitude_0,Freq1_harmonics_amplitude_1,Freq1_harmonics_amplitude_2,Freq1_harmonics_amplitude_3,Freq1_harmonics_rel_phase_0,Freq1_harmonics_rel_phase_1,Freq1_harmonics_rel_phase_2,Freq1_harmonics_rel_phase_3,Freq2_harmonics_amplitude_0,Freq2_harmonics_amplitude_1,Freq2_harmonics_amplitude_2,Freq2_harmonics_amplitude_3,Freq2_harmonics_rel_phase_0,Freq2_harmonics_rel_phase_1,Freq2_harmonics_rel_phase_2,Freq2_harmonics_rel_phase_3,Freq3_harmonics_amplitude_0,Freq3_harmonics_amplitude_1,Freq3_harmonics_amplitude_2,Freq3_harmonics_amplitude_3,Freq3_harmonics_rel_phase_0,Freq3_harmonics_rel_phase_1,Freq3_harmonics_rel_phase_2,Freq3_harmonics_rel_phase_3,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,PercentDifferenceFluxPercentile,PeriodLS,Period_fit,Psi_CS,Psi_eta,Q31,Q31_color,Rcs,Skew,SlottedA_length,SmallKurtosis,Std,StetsonJ,StetsonK,StetsonK_AC,StetsonL,Type
1.3441.15,0.45825,1.0,2.0,0.413793103448,-3.73186794343,-0.243135634041,2.61794433459,0.21636397368,0.0,147.455419621,17.8453883686,0.220472440945,0.436445444319,0.59842519685,0.719910011249,0.92575928009,0.393629414846,0.0663387906599,0.0582414484393,0.044637916996,0.0,1.70063664984,0.943636027996,1.44238929234,0.0273393105174,0.00713241753901,0.00236034726443,0.00121578406338,0.0,-0.335817966447,-0.475746658051,0.3564750082,0.0257897794543,0.00129153529691,0.00111980298301,0.00233229113444,0.0,0.520231448565,-1.89136364518,-0.430812896831,-2.71849633453e-05,14.5735742375,-9.76982253995,-0.0299439079363,0.272,0.204373423045,-0.1,-0.0547636139883,-0.0911701363963,10.4153073635,3.90192623852e-237,0.224785858779,0.0277147009931,0.529,0.199,0.0404329310585,-0.102388287971,1.38711299996,-1.26558293825,0.29254666669,101.835802672,0.815828111867,0.88625586661,75.269579109,CEPH
1.3441.45,0.3625,1.0,1.0,0.477195945946,-16.838506585,-0.460307450409,0.491577887754,0.164692807467,0.0,313.461804792,18.8517462616,0.232954545455,0.426136363636,0.580965909091,0.762784090909,0.921875,0.297324142275,0.135816635526,0.0730455918417,0.0404701742531,0.0,-2.28377965042,-1.2330927354,-0.302037709493,0.0141772091956,0.000559419599774,0.0003415347225,0.00191071117219,0.0,-2.47039500351,-0.947645471314,-1.22050113383,0.0126120347077,0.00611630703186,0.00109557633343,0.0010557359519,0.0,-0.747085551801,-1.88361874108,-1.65707330358,3.01935100864e-06,4.92560287542,-8.2774375,-0.0284163039967,0.189,0.190033783784,-0.0333333333333,-0.0612319280768,-0.0855303122342,3.36223228401,2.34270409166e-200,0.224179307373,0.0128430549413,0.40925,0.122,0.0310114858147,-0.411496669928,0.320102999991,-1.16980042247,0.235214180314,38.6174412823,0.822088104898,0.878030274823,28.536441781,CEPH
1.3443.26,0.24,1.0,1.0,0.460854092527,-14.5927342355,-0.283079185817,0.565049517429,0.252920778838,0.0,258.664194895,21.4972664476,0.249452954048,0.407002188184,0.599562363239,0.774617067834,0.929978118162,0.203076184947,0.0656373904366,0.0227317403875,0.0134548680087,0.0,-0.249817648293,-0.334554976137,-0.730263376932,0.0135112281606,0.00859863288264,0.00143455641296,0.000894803299728,0.0,-1.0084055856,-0.337393272968,0.674448916709,0.0090688201134,0.00210616689757,0.00263761353876,0.000928111630268,0.0,-0.312175816296,-1.41139598811,-1.28099494705,-6.39450048536e-06,5.65482921764,-8.24561743772,-0.0187464307601,0.1275,0.240213523132,-0.1,-0.0408759124088,-0.055596107056,3.81207337778,3.76118281206e-205,0.224297044166,0.0543062604804,0.27425,0.092,0.031207049593,-0.317201824296,0.628585000013,-1.19217639604,0.15457589637,20.7724834578,0.805663253047,0.904633562702,16.8824676379,CEPH
1.3443.30,0.236,1.0,1.0,0.463229078614,-22.4627781112,-0.354686910618,0.360221651849,0.223612392223,0.0,3170.95026296,93.6938610612,0.272321428571,0.444196428571,0.611607142857,0.767857142857,0.917410714286,0.202256884561,0.0584078331352,0.0150990070189,0.0112853469422,0.0,1.89112988089,0.702153050058,0.0375151660106,0.0102673284339,0.00142672379126,0.00115313964,0.000833674752677,0.0,1.28478138139,0.413094955723,2.30031499249,0.00728126888654,0.000722417657467,0.00386957014595,0.000469618025527,0.0,-0.926644167154,-1.77889232394,0.936520343755,3.10565139625e-06,16.5677280076,-8.09157903635,-0.0189890895327,0.127,0.289095519865,-0.166666666667,-0.0570507255364,-0.0555624457398,3.148407529,3.18301909819e-219,0.228376117546,0.0700610877596,0.2735,0.09075,0.0313683856606,-0.299304708718,0.642707999999,-1.13316927581,0.153651718782,20.3260739105,0.813839600247,0.882442281615,16.0020237793,CEPH
1.3447.36,0.349,1.0,1.0,0.464499572284,-14.8075917794,-0.421220906827,0.52591806277,0.340874094362,0.0,111.155224094,25.3042293506,0.241839762611,0.419881305638,0.577151335312,0.737388724036,0.908011869436,0.282006338326,0.117556194598,0.0645111000589,0.0323499096939,0.0,-2.04677755653,-0.786143652023,-2.54062055645,0.0166525710439,0.00688107141055,0.00304513641196,0.00216464787465,0.0,-0.790154295783,0.384680070915,-0.377375925352,0.0149526200328,0.00641409470326,0.00310588050012,0.00278648812789,0.0,-0.700630821716,0.119023024549,1.14913490205,-8.88039990565e-06,9.95249942305,-7.78757998289,-0.0286904441558,0.18,0.21129170231,0.0333333333333,-0.0665202789977,-0.0870576078533,3.78866993866,5.03940644383e-199,0.223856910383,0.0457816449085,0.388,0.122,0.0316675589542,-0.384236785584,0.578065000009,-1.16441484244,0.223429128608,27.9247777095,0.805433124949,0.877684754764,21.4630293614,CEPH
1.3448.13,0.411,1.0,2.0,0.422583404619,-2.8943539502,-0.194571496793,3.17815272293,0.392770847782,0.0,11.1530114724,3.8711665835,0.190476190476,0.359649122807,0.547619047619,0.75313283208,0.924812030075,0.34322566174,0.0503099863695,0.0394904509291,0.0358275265237,0.0,-1.71413880661,-2.591826248,-1.37508784348,0.0365598148025,0.00806995954179,0.00428546911863,0.00506790141023,0.0,2.29464986492,0.7099603259,0.173173525862,0.0292623849127,0.00720362652479,0.00619464360611,0.00762689049834,0.0,1.2742776147,-1.35931640788,-0.370284808623,-1.80683996216e-05,2.14333556528,-9.19869888794,-0.0281605699441,0.214,0.248930710009,-0.0333333333333,-0.0603042574149,-0.087337200394,12.1837119955,6.28400348346e-223,0.218027281867,0.071478372206,0.434,0.136,0.0521271039195,-0.291828867916,2.42778,-1.1381507938,0.259040603428,88.9333330246,0.821684750276,0.884277408832,72.6258613418,CEPH
1.3449.62,0.2725,1.0,1.0,0.495777027027,-17.7296319259,0.399166067338,0.423669972411,0.0889798683945,0.0,129.26151206,47.8936729443,0.286538461538,0.488461538462,0.653846153846,0.807692307692,0.932692307692,0.242923707614,0.0567768642099,0.011751854286,0.00245611291323,0.0,-0.856792573843,0.987981992556,-0.87377809252,0.0162760926259,0.00160916117743,0.00126599003076,0.00108338762452,0.0,-1.3134593692,-2.70588280406,-2.00799327089,0.0154643072042,0.00229313735543,0.00148228834876,0.00167530924837,0.0,-2.91664478663,-0.873054583333,-1.08364276933,-5.95409874777e-06,5.80093629068,-7.51151266892,-0.0243249776121,0.143,0.194256756757,-0.1,-0.0547550432277,-0.0697004222237,1.11018759641,7.60140942194e-230,0.225765970427,0.0671378593585,0.34,0.105,0.0275720224194,-0.387845464301,0.348783000009,-1.30861885408,0.182717377505,16.4344666225,0.821981461516,0.911334801396,12.5674071544,CEPH
1.3451.33,0.31025,1.0,1.0,0.460502692998,-41.2059409838,-0.663395911921,0.180782985566,0.0384755373173,0.0,398.823524079,99.0532910049,0.244897959184,0.442176870748,0.639455782313,0.789115646259,0.91156462585,0.26509602101,0.065824095009,0.0226323487414,0.00405657283414,0.0,0.142257449744,0.623849330297,-1.09243916117,0.0388238513166,0.00873846374132,0.00288147945417,0.00381702319165,0.0,1.16699094229,0.8061258001,-0.557366298946,0.0302590057595,0.00880551245633,0.00345752813665,0.00489951674733,0.0,-1.15548748302,0.370324937287,1.18239402039,-1.76937326681e-05,15.3171239435,-7.44933303411,-0.0269361521263,0.1795,0.221723518851,0.166666666667,-0.0581974942746,-0.0792132560959,1.10084821449,3.88802982826e-202,0.24422581095,0.1884508419,0.3755,0.118,0.0387452419996,-0.251745311819,0.251434000005,-1.27731399765,0.200656367846,14.2755779515,0.789452116761,0.879524105507,10.5109999604,CEPH
1.3451.9,0.28,1.0,1.0,0.449477351916,-10.8212520575,-0.285424537338,0.768462587113,0.271889257867,0.0,81.2399875569,12.5612210719,0.236162361624,0.429889298893,0.608856088561,0.776752767528,0.926199261993,0.239676185696,0.0881793453847,0.0232834349518,0.0154586879289,0.0,-0.460150088485,-0.7324546189,1.37822278324,0.0141439317638,0.00377212743457,0.00329238511185,0.0011427466952,0.0,1.54287235613,2.11356230543,2.0126832969,0.0099926934759,0.00252595292383,0.00144933596124,0.00213439438317,0.0,-0.882403024307,-2.26756506055,-0.295955780733,-4.23329993227e-06,3.76552004834,-8.31572735192,-0.0219647394646,0.157,0.257839721254,0.1,-0.053292292836,-0.0654233810127,4.58049798984,1.74562481548e-210,0.232407600572,0.0320413077247,0.33,0.10425,0.0435164575835,-0.229459485165,0.496484000032,-1.24369729613,0.182652784743,32.2745614338,0.824928025538,0.875395030134,24.8821055901,CEPH
1.3562.12,0.259,1.0,1.0,0.363251481795,-4.38529890994,-0.163471305258,2.09554727606,0.277876948675,0.0,219.80326771,8.00355987904,0.264,0.468,0.678,0.822,0.93,0.240236967706,0.04197085984,0.0212877449384,0.0138901669771,0.0,0.733692053942,1.52360072557,0.745868117174,0.0167067528968,0.00108114378686,0.000239997053234,0.0027135960232,0.0,-0.935561918159,0.0457887884223,-1.75536815803,0.0144658921034,0.00130366392288,0.00366115214351,0.00241506639061,0.0,0.354205737247,-0.275616920684,-0.582288545712,1.08747365855e-06,3.52250489358,-9.18960118544,-0.0190584784666,0.152,0.212531752752,0.1,-0.0454446854664,-0.0542299349241,8.40385116667,2.51880068722e-235,0.238830835099,0.0470387189145,0.339,0.117,0.0357174996532,0.311063414163,1.37870199995,-1.3149558524,0.175139816309,48.4516675533,0.831595118356,0.873995507267,39.6126978228,CEPH
